T_BME280_0_C;p_BME280_0_hPa;rH_BME280_0_%;T_BME280_1_C;p_BME280_1_hPa;rH_BME280_1_%;AccelX_mss;AccelY_mss;AccelZ_mss;GyroX_rads;GyroY_rads;GyroZ_rads;MagX_uT;MagY_uT;MagZ_uT;millis_ms;Jahr/Monat/Tag;Stunden:Minuten:Sekunden;f_lat;f_lon;f_altitude;f_kmph;Sateliten
19.94;1019.87;53.52;20.49;1020.20;52.09;0.13;0.02;-9.63;0.00;-0.00;0.00;-53.95;41.44;24.03;6704;2020/01/25;24:11:13.00;53.34017;8.47059;1000000.00;0.31;255
19.96;1019.84;53.44;20.50;1020.14;51.97;0.13;0.02;-9.63;-0.00;0.00;0.00;-52.34;42.34;23.51;7705;2020/01/25;24:11:14.00;53.34017;8.47059;1000000.00;1.65;255
19.97;1019.83;53.36;20.51;1020.18;51.95;0.13;0.03;-9.60;0.00;-0.00;-0.00;-52.34;40.91;22.48;8708;2020/01/25;24:11:15.00;53.34017;8.47060;1000000.00;5.46;255
19.98;1019.83;53.30;20.53;1020.19;51.93;0.13;0.02;-9.62;-0.00;0.00;0.00;-52.88;42.87;23.68;9707;2020/01/25;24:11:16.00;53.34017;8.47060;1000000.00;2.04;255
19.99;1019.86;53.21;20.53;1020.20;51.87;0.14;0.01;-9.62;0.00;-0.00;0.00;-52.70;41.62;23.85;10697;2020/01/25;24:11:17.00;53.34017;8.47060;1000000.00;1.07;255
20.01;1019.86;53.16;20.54;1020.17;51.80;0.13;0.03;-9.62;-0.00;-0.00;0.00;-52.70;40.55;23.51;11699;2020/01/25;24:11:18.00;53.34017;8.47061;1000000.00;0.48;255
20.02;1019.86;53.10;20.55;1020.16;51.81;0.14;0.02;-9.65;-0.00;0.00;-0.00;-51.63;40.55;25.57;12698;2020/01/25;24:11:19.00;53.34017;8.47061;1000000.00;0.13;255
20.02;1019.86;53.06;20.56;1020.17;51.75;0.13;0.02;-9.63;-0.00;-0.00;-0.00;-50.91;41.27;23.51;13699;2020/01/25;24:11:20.00;53.34017;8.47060;1000000.00;0.13;255
20.02;1019.86;53.02;20.56;1020.19;51.72;0.14;0.03;-9.63;-0.00;0.00;0.00;-51.98;41.27;22.48;14698;2020/01/25;24:11:21.00;53.34017;8.47061;1000000.00;0.20;255
20.01;1019.86;53.01;20.57;1020.19;51.69;0.15;0.02;-9.64;0.00;-0.00;0.00;-53.06;40.19;23.51;15698;2020/01/25;24:11:22.00;53.34016;8.47061;1000000.00;0.17;255
20.02;1019.87;52.98;20.58;1020.19;51.65;0.14;0.02;-9.60;-0.00;0.00;0.00;-51.45;41.09;25.06;16695;2020/01/25;24:11:23.00;53.34016;8.47061;1000000.00;0.15;255
20.02;1019.87;52.96;20.57;1020.19;51.63;0.14;0.01;-9.62;-0.00;0.00;0.00;-51.81;40.01;24.03;17703;2020/01/25;24:11:24.00;53.34016;8.47060;1000000.00;0.19;255
20.03;1019.87;52.94;20.57;1020.19;51.69;0.13;0.04;-9.62;-0.00;0.00;0.00;-52.34;41.62;24.20;18698;2020/01/25;24:11:25.00;53.34016;8.47060;1000000.00;0.02;255
20.03;1019.86;52.93;20.58;1020.18;51.61;0.15;0.02;-9.63;0.00;-0.00;0.00;-51.98;41.27;24.54;19700;2020/01/25;24:11:26.00;53.34016;8.47060;1000000.00;0.09;255
20.04;1019.84;52.92;20.59;1020.21;51.66;0.13;0.03;-9.64;-0.00;0.00;-0.00;-53.06;40.91;25.91;20706;2020/01/25;24:11:27.00;53.34015;8.47060;1000000.00;0.04;255
20.06;1019.88;52.89;20.59;1020.21;51.60;0.13;0.02;-9.63;0.00;0.00;-0.00;-53.23;40.73;24.37;21704;2020/01/25;24:11:28.00;53.34015;8.47060;1000000.00;0.11;255
20.06;1019.87;52.88;20.60;1020.22;51.58;0.15;0.02;-9.64;-0.00;0.00;-0.00;-52.52;41.09;24.37;22704;2020/01/25;24:11:29.00;53.34015;8.47060;1000000.00;0.07;255
20.05;1019.88;52.87;20.60;1020.18;51.56;0.13;0.02;-9.64;-0.00;0.00;0.00;-52.88;42.16;24.37;23702;2020/01/25;24:11:30.00;53.34015;8.47060;1000000.00;0.11;255
20.05;1019.86;52.88;20.60;1020.17;51.54;0.14;0.03;-9.63;0.00;-0.00;-0.00;-52.88;43.23;24.71;24699;2020/01/25;24:11:31.00;53.34015;8.47060;1000000.00;0.07;255
20.04;1019.85;52.85;20.60;1020.22;51.53;0.14;0.02;-9.62;-0.00;0.00;-0.00;-53.59;41.44;24.71;25703;2020/01/25;24:11:32.00;53.34015;8.47060;1000000.00;0.04;255
20.04;1019.88;52.87;20.60;1020.17;51.57;0.15;0.03;-9.63;0.00;0.00;-0.00;-52.70;40.91;24.54;26706;2020/01/25;24:11:33.00;53.34015;8.47060;1000000.00;0.11;255
20.04;1019.85;52.87;20.60;1020.20;51.54;0.14;0.03;-9.62;-0.00;0.00;0.00;-51.81;41.80;25.06;27702;2020/01/25;24:11:34.00;53.34015;8.47060;1000000.00;0.19;255
20.05;1019.83;52.88;20.60;1020.19;51.53;0.14;0.02;-9.63;-0.00;-0.00;0.00;-52.16;41.80;24.37;28704;2020/01/25;24:11:35.00;53.34015;8.47060;1000000.00;0.46;255
20.05;1019.81;52.89;20.60;1020.17;51.55;0.13;0.01;-9.63;-0.00;0.00;-0.00;-51.98;41.27;24.20;29706;2020/01/25;24:11:36.00;53.34015;8.47060;1000000.00;0.19;255
20.04;1019.85;52.90;20.60;1020.21;51.59;0.14;0.01;-9.63;-0.00;0.00;0.00;-52.34;41.27;23.85;30701;2020/01/25;24:11:37.00;53.34015;8.47060;1000000.00;0.19;255
20.05;1019.78;52.91;20.62;1020.18;51.57;0.14;0.03;-9.61;0.00;-0.00;0.00;-53.41;42.34;24.54;31700;2020/01/25;24:11:38.00;53.34015;8.47060;1000000.00;0.02;255
20.07;1019.85;52.90;20.62;1020.19;51.65;0.14;0.02;-9.64;-0.00;-0.00;-0.00;-54.13;42.34;23.85;32702;2020/01/25;24:11:39.00;53.34015;8.47060;1000000.00;0.13;255
20.08;1019.85;52.87;20.62;1020.19;51.63;0.13;0.02;-9.65;-0.00;0.00;-0.00;-52.16;40.01;24.37;33704;2020/01/25;24:11:40.00;53.34015;8.47060;1000000.00;0.07;255
20.09;1019.83;52.81;20.63;1020.22;51.56;0.14;0.03;-9.64;-0.00;0.00;0.00;-52.88;40.73;24.71;34704;2020/01/25;24:11:41.00;53.34015;8.47060;1000000.00;0.04;255
20.10;1019.85;52.76;20.64;1020.20;51.53;0.15;0.03;-9.62;-0.00;0.00;0.00;-53.23;41.09;24.03;35706;2020/01/25;24:11:42.00;53.34015;8.47060;1000000.00;0.04;255
20.10;1019.80;52.70;20.64;1020.21;51.49;0.14;0.03;-9.63;0.00;-0.00;-0.00;-51.63;41.27;25.57;36701;2020/01/25;24:11:43.00;53.34015;8.47060;1000000.00;0.07;255
20.11;1019.82;52.66;20.65;1020.20;51.44;0.14;0.04;-9.65;-0.00;-0.00;0.00;-51.27;41.62;22.82;37701;2020/01/25;24:11:44.00;53.34015;8.47060;1000000.00;0.04;255
20.12;1019.80;52.65;20.66;1020.21;51.46;0.14;0.02;-9.64;0.00;0.00;0.00;-52.16;41.44;24.71;38700;2020/01/25;24:11:45.00;53.34015;8.47060;1000000.00;0.09;255
20.13;1019.80;52.65;20.66;1020.18;51.46;0.14;0.03;-9.61;-0.00;-0.00;-0.00;-53.95;41.44;25.74;39702;2020/01/25;24:11:46.00;53.34015;8.47060;1000000.00;0.07;255
20.14;1019.85;52.63;20.66;1020.19;51.43;0.13;0.01;-9.63;0.00;0.00;-0.00;-53.41;40.91;22.82;40701;2020/01/25;24:11:47.00;53.34015;8.47060;1000000.00;0.20;255
20.13;1019.79;52.63;20.67;1020.19;51.43;0.14;0.02;-9.64;0.00;-0.00;-0.00;-54.13;41.27;24.54;41705;2020/01/25;24:11:48.00;53.34015;8.47060;1000000.00;0.48;255
20.13;1019.84;52.63;20.67;1020.20;51.41;0.14;0.02;-9.62;0.00;0.00;0.00;-52.88;40.73;24.37;42698;2020/01/25;24:11:49.00;53.34015;8.47060;1000000.00;0.07;255
20.14;1019.83;52.62;20.68;1020.21;51.36;0.14;0.03;-9.62;0.00;0.00;-0.00;-52.34;41.62;25.23;43700;2020/01/25;24:11:50.00;53.34016;8.47060;1000000.00;0.48;255
20.14;1019.81;52.62;20.69;1020.17;51.30;0.14;0.03;-9.64;0.00;0.00;0.00;-52.16;40.73;24.71;44699;2020/01/25;24:11:51.00;53.34016;8.47060;1000000.00;0.11;255
20.14;1019.79;52.58;20.69;1020.19;51.23;0.14;0.02;-9.63;-0.00;0.00;0.00;-51.98;41.27;24.88;45697;2020/01/25;24:11:52.00;53.34016;8.47060;1000000.00;0.13;255
20.15;1019.75;52.55;20.69;1020.18;51.26;0.13;0.04;-9.64;0.00;-0.00;-0.00;-53.23;41.44;24.37;46703;2020/01/25;24:11:53.00;53.34016;8.47060;1000000.00;0.22;255
20.16;1019.80;52.52;20.69;1020.15;51.26;0.13;0.02;-9.60;-0.00;-0.00;0.00;-52.34;40.55;24.88;47699;2020/01/25;24:11:54.00;53.34016;8.47060;1000000.00;0.50;255
20.17;1019.81;52.49;20.70;1020.16;51.29;0.14;0.02;-9.63;-0.00;0.00;0.00;-52.88;41.09;23.68;48701;2020/01/25;24:11:55.00;53.34016;8.47060;1000000.00;0.07;255
20.17;1019.80;52.47;20.70;1020.17;51.23;0.15;0.02;-9.60;-0.00;0.00;-0.00;-52.16;41.44;23.68;49700;2020/01/25;24:11:56.00;53.34016;8.47060;1000000.00;0.07;255
20.17;1019.81;52.45;20.70;1020.19;51.21;0.13;0.02;-9.64;-0.00;0.00;0.00;-54.13;40.91;24.20;50699;2020/01/25;24:11:57.00;53.34016;8.47060;1000000.00;0.11;255
20.16;1019.82;52.44;20.71;1020.19;51.20;0.14;0.01;-9.60;-0.00;0.00;0.00;-51.98;40.91;24.88;51698;2020/01/25;24:11:58.00;53.34016;8.47060;1000000.00;0.19;255
20.15;1019.84;52.43;20.71;1020.18;51.19;0.14;0.02;-9.65;-0.00;0.00;0.00;-52.70;39.84;23.51;52699;2020/01/25;24:11:59.00;53.34016;8.47060;1000000.00;0.24;255
20.15;1019.81;52.43;20.71;1020.19;51.26;0.14;0.02;-9.64;-0.00;0.00;0.00;-52.16;41.62;24.54;53698;2020/01/25;24:12:00.00;53.34016;8.47060;1000000.00;0.09;255
20.15;1019.80;52.43;20.71;1020.15;51.18;0.14;0.03;-9.62;-0.00;0.00;-0.00;-51.63;41.98;24.20;54701;2020/01/25;24:12:01.00;53.34016;8.47060;1000000.00;0.04;255
20.14;1019.78;52.46;20.71;1020.16;51.19;0.15;0.04;-9.63;-0.00;0.00;0.00;-52.52;43.23;24.37;55698;2020/01/25;24:12:02.00;53.34016;8.47060;1000000.00;0.19;255
20.13;1019.78;52.46;20.70;1020.18;51.24;0.13;0.02;-9.63;-0.00;0.00;-0.00;-51.98;41.62;24.20;56699;2020/01/25;24:12:03.00;53.34016;8.47060;1000000.00;0.00;255
20.13;1019.80;52.47;20.71;1020.18;51.20;0.13;0.03;-9.65;0.00;-0.00;-0.00;-53.23;42.16;24.37;57700;2020/01/25;24:12:04.00;53.34016;8.47059;1000000.00;0.02;255
20.13;1019.81;52.47;20.71;1020.19;51.19;0.15;0.04;-9.62;0.00;-0.00;-0.00;-52.34;41.98;25.23;58699;2020/01/25;24:12:05.00;53.34017;8.47059;1000000.00;0.13;255
20.13;1019.79;52.47;20.70;1020.16;51.17;0.15;0.03;-9.64;0.00;0.00;0.00;-52.34;41.98;25.23;59700;2020/01/25;24:12:06.00;53.34017;8.47059;1000000.00;0.11;255
20.14;1019.79;52.44;20.70;1020.18;51.19;0.15;0.03;-9.62;0.00;0.00;-0.00;-52.52;41.09;24.37;60699;2020/01/25;24:12:07.00;53.34017;8.47059;1000000.00;0.22;255
20.14;1019.79;52.41;20.71;1020.16;51.18;0.13;0.03;-9.63;0.00;0.00;-0.00;-53.06;42.34;23.51;61722;2020/01/25;24:12:08.00;53.34017;8.47059;1000000.00;0.11;255
20.14;1019.82;52.38;20.71;1020.18;51.12;0.15;0.03;-9.67;-0.00;0.00;-0.00;-52.70;39.84;26.60;62703;2020/01/25;24:12:09.00;53.34017;8.47059;1000000.00;0.04;255
20.15;1019.81;52.37;20.71;1020.19;51.10;0.15;0.03;-9.63;-0.00;0.00;-0.00;-52.88;41.44;24.71;63698;2020/01/25;24:12:10.00;53.34017;8.47059;1000000.00;0.06;255
20.15;1019.79;52.34;20.72;1020.18;51.11;0.14;0.03;-9.64;-0.00;0.00;0.00;-52.70;42.34;24.88;64699;2020/01/25;24:12:11.00;53.34017;8.47059;1000000.00;0.11;255
20.16;1019.84;52.33;20.72;1020.17;51.07;0.13;0.02;-9.64;0.00;0.00;-0.00;-50.91;43.77;24.20;65698;2020/01/25;24:12:12.00;53.34017;8.47059;1000000.00;0.09;255
20.14;1019.80;52.34;20.73;1020.16;51.04;0.13;0.03;-9.64;-0.00;0.00;-0.00;-53.06;41.98;25.57;66700;2020/01/25;24:12:13.00;53.34018;8.47059;1000000.00;0.15;255
20.14;1019.84;52.34;20.72;1020.18;51.10;0.14;0.03;-9.64;0.00;0.00;-0.00;-52.70;40.91;24.88;67698;2020/01/25;24:12:14.00;53.34018;8.47059;1000000.00;0.09;255
20.13;1019.81;52.33;20.71;1020.22;51.05;0.15;0.03;-9.61;-0.00;0.00;0.00;-52.88;42.16;23.00;68700;2020/01/25;24:12:15.00;53.34018;8.47059;1000000.00;0.04;255
