T_BME280_0_C;p_BME280_0_hPa;rH_BME280_0_%;T_BME280_1_C;p_BME280_1_hPa;rH_BME280_1_%;AccelX_mss;AccelY_mss;AccelZ_mss;GyroX_rads;GyroY_rads;GyroZ_rads;MagX_uT;MagY_uT;MagZ_uT;millis_ms;Jahr/Monat/Tag;Stunden:Minuten:Sekunden;f_lat;f_lon;f_altitude;f_kmph;Sateliten
20.97;1002.13;53.99;20.62;1001.21;52.10;0.86;0.51;-10.88;-0.13;-0.63;1.55;-9.83;28.40;27.63;11470;
20.91;1002.12;50.55;20.62;1001.17;49.46;-0.52;0.57;-9.95;0.19;-0.19;0.49;-10.18;32.33;19.74;16852;
20.92;1002.17;50.80;20.65;1001.20;50.32;-0.03;-2.03;-10.83;-0.29;0.04;-0.14;-17.86;33.94;20.59;22242;
19.96;1002.19;48.32;19.89;1001.22;47.49;0.15;0.11;-9.76;-0.21;-0.33;-0.24;-13.22;40.37;19.56;27623;
19.66;1002.19;49.14;18.88;1001.18;48.32;-0.96;1.20;-9.23;-0.01;0.21;-0.25;-29.12;-0.54;56.80;33007;
19.25;1002.18;50.02;18.34;1001.19;49.41;1.00;-0.63;-9.54;-0.09;0.39;0.41;-38.94;12.86;-40.16;38391;
19.13;1002.28;50.70;18.08;1001.26;49.96;2.22;0.22;-9.37;0.00;0.00;0.00;-36.08;45.37;-69.67;43772;
19.08;1002.27;49.93;17.90;1001.29;50.32;2.22;0.21;-9.38;-0.00;0.00;0.00;-37.16;47.52;-70.02;49158;
19.06;1002.26;49.73;17.73;1001.28;50.77;2.21;0.22;-9.40;0.00;0.00;0.00;-35.91;46.98;-69.85;54537;
19.00;1002.24;49.66;17.54;1001.27;51.28;2.22;0.22;-9.41;0.00;-0.00;0.00;-35.37;45.73;-69.67;59920;
18.94;1002.24;49.73;17.37;1001.26;51.78;2.21;0.22;-9.37;-0.00;0.00;0.00;-36.80;46.09;-68.30;65303;
18.91;1002.24;49.81;17.19;1001.29;52.24;2.21;0.20;-9.40;-0.00;0.00;0.00;-36.98;45.91;-69.16;70686;
18.85;1002.20;49.92;17.02;1001.25;52.71;2.20;0.22;-9.40;-0.00;0.00;0.00;-35.37;46.45;-71.05;76072;
18.82;1002.20;49.98;16.95;1001.24;52.88;2.20;0.20;-9.40;-0.00;0.00;0.00;-36.26;46.27;-70.53;78372;2020/01/31;05:59:32.99;53.34015;8.47080;1000000.00;0.31;255
18.81;1002.18;50.00;16.93;1001.24;52.95;2.20;0.21;-9.43;-0.00;0.00;0.00;-36.80;47.52;-70.02;79166;2020/01/31;05:59:34.00;53.34014;8.47080;1000000.00;0.17;255
18.79;1002.20;50.02;16.90;1001.22;53.04;2.20;0.22;-9.36;-0.00;0.00;0.00;-37.51;46.09;-68.99;80167;2020/01/31;05:59:35.00;53.34014;8.47081;1000000.00;0.28;255
18.78;1002.19;50.07;16.86;1001.22;53.12;2.22;0.21;-9.38;0.00;0.00;0.00;-37.16;45.37;-70.70;81166;2020/01/31;05:59:36.00;53.34014;8.47081;1000000.00;0.41;255
18.76;1002.21;50.09;16.84;1001.23;53.22;2.21;0.21;-9.40;0.00;-0.00;0.00;-37.16;45.73;-69.67;82167;2020/01/31;05:59:37.00;53.34014;8.47081;1000000.00;0.54;255
18.74;1002.19;50.12;16.81;1001.23;53.28;2.19;0.21;-9.40;0.00;0.00;0.00;-36.62;45.91;-68.82;83166;2020/01/31;05:59:38.00;53.34014;8.47081;1000000.00;0.37;255
18.72;1002.18;50.16;16.78;1001.23;53.36;2.20;0.22;-9.40;0.00;0.00;0.00;-35.37;46.80;-67.96;84165;2020/01/31;05:59:39.00;53.34014;8.47081;1000000.00;0.11;255
18.70;1002.20;50.21;16.75;1001.26;53.39;2.20;0.22;-9.42;0.00;0.00;0.00;-36.80;46.80;-68.64;85166;2020/01/31;05:59:40.00;53.34014;8.47081;1000000.00;0.07;255
18.69;1002.19;50.25;16.73;1001.27;53.53;2.21;0.22;-9.39;0.00;0.00;0.00;-37.51;45.73;-68.30;86166;2020/01/31;05:59:41.00;53.34014;8.47081;1000000.00;0.04;255
18.66;1002.23;50.29;16.70;1001.25;53.61;2.22;0.21;-9.40;-0.00;0.00;0.00;-35.73;46.45;-69.67;87169;2020/01/31;05:59:42.00;53.34014;8.47081;1000000.00;0.06;255
18.65;1002.10;50.34;16.67;1001.18;53.66;2.21;0.21;-9.39;-0.00;0.00;0.00;-36.26;45.55;-69.85;88167;2020/01/31;05:59:43.00;53.34014;8.47081;1000000.00;0.17;255
18.67;1002.15;50.40;16.65;1001.25;53.80;2.22;0.20;-9.37;0.00;0.00;0.00;-35.55;46.27;-69.50;89165;2020/01/31;05:59:44.00;53.34014;8.47081;1000000.00;0.07;255
18.66;1002.15;50.45;16.61;1001.26;53.90;2.19;0.22;-9.38;-0.00;0.00;0.00;-37.51;45.73;-69.67;90169;2020/01/31;05:59:45.00;53.34014;8.47081;1000000.00;0.06;255
18.64;1002.21;50.51;16.58;1001.26;53.93;2.21;0.21;-9.38;-0.00;0.00;0.00;-38.05;47.34;-70.53;91170;2020/01/31;05:59:46.00;53.34015;8.47081;1000000.00;0.04;255
18.61;1002.17;50.56;16.55;1001.23;54.13;2.20;0.22;-9.37;0.00;0.00;0.00;-37.34;48.41;-70.53;92168;2020/01/31;05:59:47.00;53.34015;8.47081;1000000.00;0.11;255
18.59;1002.13;50.61;16.53;1001.19;54.24;2.20;0.22;-9.41;0.00;0.00;0.00;-36.26;45.20;-68.82;93163;2020/01/31;05:59:48.00;53.34015;8.47081;1000000.00;0.22;255
18.60;1002.20;50.66;16.50;1001.25;54.33;2.20;0.22;-9.39;0.00;0.00;0.00;-37.34;46.62;-69.85;94162;2020/01/31;05:59:49.00;53.34015;8.47081;1000000.00;0.20;255
18.60;1002.14;50.70;16.47;1001.27;54.46;2.20;0.21;-9.38;0.00;0.00;0.00;-36.62;45.55;-70.19;95165;2020/01/31;05:59:50.00;53.34015;8.47081;1000000.00;0.09;255
18.59;1002.15;50.72;16.44;1001.25;54.54;2.20;0.20;-9.38;0.00;0.00;0.00;-36.62;46.62;-70.87;96165;2020/01/31;05:59:51.00;53.34015;8.47081;1000000.00;0.02;255
18.57;1002.19;50.75;16.42;1001.29;54.59;2.19;0.21;-9.38;-0.00;0.00;0.00;-35.73;46.80;-69.67;97166;2020/01/31;05:59:52.00;53.34015;8.47081;1000000.00;0.07;255
18.56;1002.20;50.78;16.39;1001.30;54.72;2.20;0.23;-9.39;0.00;0.00;0.00;-36.80;45.73;-69.33;98166;2020/01/31;05:59:53.00;53.34015;8.47081;1000000.00;0.15;255
18.53;1002.20;50.80;16.36;1001.30;54.78;2.20;0.23;-9.38;0.00;0.00;0.00;-35.91;46.62;-68.47;99167;2020/01/31;05:59:54.00;53.34015;8.47081;1000000.00;0.07;255
18.50;1002.21;50.84;16.33;1001.31;54.89;2.21;0.20;-9.38;0.00;0.00;0.00;-37.16;45.73;-69.67;100168;2020/01/31;05:59:55.00;53.34015;8.47081;1000000.00;0.07;255
18.48;1002.25;50.88;16.30;1001.30;54.93;2.22;0.22;-9.40;0.00;-0.00;0.00;-36.80;46.45;-69.67;101167;2020/01/31;05:59:56.00;53.34015;8.47081;1000000.00;0.04;255
18.48;1002.26;50.91;16.28;1001.30;55.00;2.20;0.21;-9.39;-0.00;0.00;0.00;-37.16;46.45;-69.67;102167;2020/01/31;05:59:57.00;53.34015;8.47081;1000000.00;0.15;255
18.46;1002.21;50.94;16.25;1001.30;55.10;2.19;0.21;-9.38;0.00;0.00;0.00;-36.08;46.80;-71.05;103165;2020/01/31;05:59:58.00;53.34015;8.47081;1000000.00;0.13;255
18.43;1002.22;50.98;16.23;1001.30;55.15;2.21;0.23;-9.36;-0.00;0.00;0.00;-37.51;45.37;-68.99;104166;2020/01/31;05:59:59.00;53.34015;8.47081;1000000.00;0.07;255
18.41;1002.25;51.03;16.20;1001.28;55.22;2.22;0.21;-9.37;-0.00;0.00;0.00;-34.83;47.34;-69.50;105165;2020/01/31;06:00:00.00;53.34015;8.47081;1000000.00;0.04;255
18.36;1002.24;51.08;16.18;1001.30;55.31;2.21;0.22;-9.39;-0.00;0.00;0.00;-35.73;46.09;-68.99;106170;2020/01/31;06:00:01.00;53.34015;8.47081;1000000.00;0.07;255
18.34;1002.22;51.13;16.15;1001.29;55.39;2.21;0.22;-9.40;-0.00;0.00;0.00;-36.80;46.09;-68.64;107172;2020/01/31;06:00:02.00;53.34015;8.47081;1000000.00;0.04;255
18.30;1002.21;51.20;16.12;1001.30;55.53;2.21;0.22;-9.40;0.00;0.00;0.00;-36.08;45.73;-68.64;108172;2020/01/31;06:00:03.00;53.34015;8.47081;1000000.00;0.13;255
18.28;1002.20;51.25;16.09;1001.30;55.56;2.22;0.22;-9.39;-0.00;0.00;0.00;-37.51;46.09;-70.70;109167;2020/01/31;06:00:04.00;53.34015;8.47081;1000000.00;0.04;255
18.26;1002.26;51.31;16.07;1001.30;55.64;2.21;0.21;-9.38;-0.00;0.00;0.00;-36.62;48.05;-69.50;110167;2020/01/31;06:00:05.00;53.34015;8.47081;1000000.00;0.11;255
18.24;1002.24;51.37;16.04;1001.31;55.75;2.21;0.21;-9.37;0.00;0.00;0.00;-36.80;47.16;-69.67;111167;2020/01/31;06:00:06.00;53.34015;8.47081;1000000.00;0.15;255
