T_BME280_0_C;p_BME280_0_hPa;rH_BME280_0_%;T_BME280_1_C;p_BME280_1_hPa;rH_BME280_1_%;AccelX_mss;AccelY_mss;AccelZ_mss;GyroX_rads;GyroY_rads;GyroZ_rads;MagX_uT;MagY_uT;MagZ_uT;lux_lx;millis_ms;Jahr/Monat/Tag;Stunden:Minuten:Sekunden;f_lat;f_lon;f_altitude;f_kmph;Sateliten
16.46;1019.87;57.22;16.85;1020.21;55.79;0.32;0.10;-9.54;-0.00;-0.00;-0.00;-7.86;12.50;17.16;54612;10567;
16.55;1019.87;56.67;16.96;1020.25;55.35;0.36;0.08;-9.52;-0.00;-0.00;-0.00;-8.57;13.22;17.50;54612;15971;
16.62;1019.87;56.32;17.08;1020.23;55.10;0.34;0.09;-9.55;-0.00;-0.00;-0.00;-7.50;13.22;17.85;54612;21374;
16.70;1019.84;56.08;17.16;1020.23;54.55;0.33;0.09;-9.54;-0.00;-0.00;-0.00;-7.68;12.33;16.30;54612;26779;
16.77;1019.84;55.77;17.25;1020.23;54.29;0.34;0.07;-9.56;-0.00;-0.00;0.00;-8.93;13.58;17.50;54612;32183;
16.84;1019.83;55.51;17.31;1020.22;54.04;0.26;0.11;-9.65;-0.01;-0.02;-0.00;-8.40;13.76;18.02;54612;37587;
16.92;1019.84;55.23;17.37;1020.21;53.75;0.34;0.07;-9.57;-0.00;-0.00;-0.00;-8.22;12.86;16.82;54612;42992;
17.02;1019.86;55.10;17.42;1020.21;53.75;0.33;0.06;-9.55;-0.00;-0.00;-0.00;-9.11;14.47;16.99;54612;48397;
17.10;1019.87;54.83;17.48;1020.20;53.52;0.33;0.08;-9.56;-0.00;-0.00;-0.00;-8.93;13.22;16.13;54612;53801;
17.14;1019.84;54.51;17.54;1020.22;53.23;0.33;0.06;-9.57;-0.00;-0.00;-0.00;-9.11;13.04;16.65;54612;59206;
17.22;1019.85;54.41;17.61;1020.19;53.10;0.33;0.06;-9.55;-0.00;-0.00;-0.00;-7.32;13.76;18.02;54612;64611;
17.26;1019.84;54.22;17.71;1020.21;52.93;0.32;0.07;-9.55;-0.00;-0.00;-0.00;-7.86;13.22;16.82;54612;70016;
17.31;1019.87;54.05;17.78;1020.19;52.73;0.33;0.07;-9.58;-0.00;-0.00;-0.00;-7.15;13.58;16.82;54612;75420;
17.37;1019.87;53.95;17.84;1020.21;52.53;0.35;0.07;-9.57;-0.00;-0.00;-0.00;-8.75;13.76;18.36;54612;80824;
17.41;1019.82;53.78;17.90;1020.20;52.36;0.35;0.07;-9.55;-0.00;-0.00;-0.00;-8.04;13.04;16.30;54612;86228;
17.46;1019.88;53.61;17.97;1020.23;52.20;0.34;0.07;-9.57;-0.00;-0.00;-0.00;-8.93;13.22;16.13;54612;91633;
17.52;1019.84;53.52;18.05;1020.24;52.03;0.34;0.06;-9.57;-0.00;-0.00;-0.00;-8.40;14.83;15.96;54612;97037;
17.61;1019.85;53.31;18.13;1020.22;51.79;0.34;0.05;-9.56;-0.00;-0.00;-0.00;-8.57;13.93;15.79;54612;102441;
17.68;1019.85;53.11;18.20;1020.22;51.63;0.35;0.05;-9.60;-0.00;-0.00;-0.00;-8.04;12.68;17.68;54612;107847;
17.71;1019.85;52.90;18.23;1020.18;51.51;0.34;0.04;-9.56;-0.00;-0.00;-0.00;-8.04;13.40;16.99;54612;113252;
17.76;1019.89;52.80;18.27;1020.22;51.47;0.35;0.07;-9.57;-0.00;-0.00;-0.00;-9.29;13.58;16.47;54612;118658;
17.81;1019.89;52.70;18.30;1020.22;51.39;0.35;0.06;-9.58;-0.00;-0.00;-0.00;-8.22;13.58;18.53;54612;124063;
17.84;1019.88;52.57;18.34;1020.24;51.32;0.36;0.06;-9.60;-0.00;-0.00;-0.00;-7.86;12.86;17.16;54612;129468;
17.89;1019.90;52.44;18.38;1020.23;51.13;0.34;0.06;-9.59;-0.00;-0.00;-0.00;-9.11;13.76;17.33;54612;134874;
17.92;1019.86;52.31;18.45;1020.22;51.01;0.35;0.06;-9.59;-0.00;-0.00;-0.00;-8.40;13.04;16.30;54612;140279;
17.97;1019.89;52.16;18.49;1020.22;50.82;0.35;0.06;-9.59;-0.00;-0.00;-0.00;-8.57;12.86;16.47;54612;145684;
18.01;1019.92;52.01;18.54;1020.25;50.72;0.34;0.05;-9.60;-0.00;-0.00;-0.00;-7.68;11.97;16.65;54612;151092;
18.05;1019.89;51.93;18.57;1020.22;50.67;0.35;0.06;-9.59;-0.00;-0.00;-0.00;-9.65;13.22;18.19;54612;156497;
18.10;1019.87;51.88;18.60;1020.22;50.60;0.34;0.06;-9.60;-0.00;-0.00;-0.00;-9.11;13.40;15.27;54612;161903;
18.13;1019.88;51.80;18.63;1020.21;50.63;0.35;0.06;-9.62;-0.00;-0.00;-0.00;-8.04;13.04;17.68;54612;167309;
18.17;1019.86;51.70;18.66;1020.20;50.64;0.34;0.03;-9.63;0.00;-0.00;-0.00;-7.86;15.36;17.50;54612;172713;
18.22;1019.88;51.55;18.72;1020.20;50.39;0.35;0.06;-9.59;-0.00;-0.00;-0.00;-8.93;13.58;17.85;54612;178119;
18.27;1019.86;51.40;18.79;1020.18;50.10;0.34;0.05;-9.61;-0.00;-0.00;-0.00;-7.50;13.22;16.47;54612;183524;
18.32;1019.81;51.25;18.83;1020.20;49.95;0.35;0.04;-9.63;-0.00;-0.00;-0.00;-8.40;13.40;16.99;54612;188929;
18.35;1019.79;51.13;18.87;1020.17;49.86;0.34;0.05;-9.57;-0.00;-0.00;-0.00;-9.29;12.86;16.13;54612;194333;
18.41;1019.84;51.01;18.91;1020.16;49.79;0.34;0.06;-9.62;-0.00;-0.00;-0.00;-7.68;14.83;16.65;54612;199737;
18.44;1019.82;50.88;18.94;1020.17;49.68;0.36;0.07;-9.60;-0.00;-0.00;-0.00;-8.40;12.68;17.33;54612;205143;
18.49;1019.82;50.80;18.97;1020.16;49.63;0.35;0.05;-9.61;-0.00;-0.00;-0.00;-8.93;14.29;17.16;54612;210547;
18.52;1019.81;50.70;19.00;1020.17;49.61;0.35;0.06;-9.60;-0.00;-0.00;-0.00;-8.57;13.22;16.13;54612;215951;
18.57;1019.79;50.60;19.05;1020.12;49.46;0.35;0.04;-9.62;-0.00;-0.00;-0.00;-7.15;13.93;17.50;54612;221356;
18.60;1019.83;50.47;19.08;1020.15;49.41;0.36;0.04;-9.64;-0.00;-0.00;-0.00;-9.29;12.86;16.47;54612;226760;
18.65;1019.83;50.40;19.10;1020.17;49.62;0.36;0.04;-9.62;-0.00;-0.00;-0.00;-7.86;13.93;16.82;54612;232165;
18.68;1019.76;50.34;19.15;1020.17;49.64;0.34;0.07;-9.59;-0.00;-0.00;-0.00;-8.40;13.04;16.99;54612;237571;
18.71;1019.77;50.21;19.18;1020.17;49.35;0.35;0.05;-9.63;-0.00;-0.00;-0.00;-7.86;15.01;16.13;54612;242976;
