T_BME280_0_C;p_BME280_0_hPa;rH_BME280_0_%;T_BME280_1_C;p_BME280_1_hPa;rH_BME280_1_%;AccelX_mss;AccelY_mss;AccelZ_mss;GyroX_rads;GyroY_rads;GyroZ_rads;MagX_uT;MagY_uT;MagZ_uT;millis_ms;Jahr/Monat/Tag;Stunden:Minuten:Sekunden;f_lat;f_lon;f_altitude;f_kmph;Sateliten
15.89;1003.62;65.64;17.10;1002.78;62.15;1.54;0.13;-9.47;0.04;0.05;-0.01;-22.33;-0.89;-7.72;7127;2020/01/31;17:07:31.00;53.35928;8.07028;1000000.00;15.17;255
15.86;1003.58;65.61;17.02;1002.75;61.82;1.55;0.12;-9.46;0.04;0.05;-0.01;-25.72;-0.71;-8.58;8124;2020/01/31;17:07:32.00;53.35935;8.07032;1000000.00;14.89;255
15.91;1003.55;65.61;16.87;1002.75;61.61;1.55;0.10;-9.46;0.04;0.05;-0.01;-24.29;-8.57;-13.04;9112;2020/01/31;17:07:33.00;53.35937;8.07031;1000000.00;9.48;255
15.90;1003.58;65.59;16.74;1002.75;61.56;1.54;0.15;-9.47;0.04;0.05;-0.01;-23.40;-12.68;-15.62;10120;2020/01/31;17:07:34.00;53.35937;8.07029;1000000.00;10.46;255
15.91;1003.60;65.57;16.68;1002.76;61.51;1.55;0.18;-9.46;0.04;0.05;-0.01;-23.58;-13.22;-16.47;11119;2020/01/31;17:07:35.00;53.35937;8.07029;1000000.00;2.26;255
15.92;1003.59;65.54;16.64;1002.79;61.59;1.54;0.16;-9.45;0.04;0.05;-0.01;-24.29;-13.58;-17.50;12115;2020/01/31;17:07:36.00;53.35936;8.07029;1000000.00;1.15;255
15.93;1003.58;65.56;16.60;1002.75;61.61;1.48;0.11;-9.51;0.04;0.05;-0.01;-24.12;-2.32;-8.75;13115;2020/01/31;17:07:37.00;53.35935;8.07028;1000000.00;7.78;255
15.93;1003.57;65.52;16.51;1002.72;61.68;1.54;0.16;-9.42;0.04;0.06;-0.01;-23.76;-0.18;-8.75;14111;2020/01/31;17:07:38.00;53.35935;8.07028;1000000.00;1.26;255
15.93;1003.55;65.49;16.44;1002.70;61.81;1.55;0.13;-9.45;0.04;0.06;-0.01;-24.12;-1.61;-6.69;15110;2020/01/31;17:07:39.00;53.35934;8.07028;1000000.00;0.52;255
15.95;1003.55;65.50;16.37;1002.67;61.80;1.52;0.14;-9.46;0.04;0.05;-0.01;-24.12;-0.18;-7.72;16114;2020/01/31;17:07:40.00;53.35935;8.07029;1000000.00;1.02;255
15.91;1003.56;65.53;16.31;1002.67;62.12;1.55;0.14;-9.45;0.04;0.05;-0.01;-23.40;-0.89;-8.07;17108;2020/01/31;17:07:41.00;53.35935;8.07030;1000000.00;2.09;255
15.86;1003.58;65.56;16.23;1002.74;62.25;1.53;0.16;-9.46;0.04;0.06;-0.01;-23.94;-5.00;-10.64;18105;2020/01/31;17:07:42.00;53.35937;8.07031;1000000.00;2.15;255
15.84;1003.56;65.55;16.13;1002.69;62.35;1.54;0.12;-9.49;0.04;0.05;-0.01;-24.12;-13.04;-18.02;19108;2020/01/31;17:07:43.00;53.35937;8.07031;1000000.00;0.17;255
15.86;1003.57;65.58;16.05;1002.71;62.50;1.55;0.15;-9.47;0.04;0.06;-0.01;-23.58;-14.65;-17.16;20108;2020/01/31;17:07:44.00;53.35937;8.07031;1000000.00;0.43;255
15.87;1003.61;65.59;16.01;1002.68;62.64;1.52;0.15;-9.46;0.04;0.05;-0.01;-24.47;-13.76;-18.02;21105;2020/01/31;17:07:45.00;53.35937;8.07031;1000000.00;0.11;255
15.87;1003.59;65.59;15.98;1002.71;62.82;1.54;0.16;-9.46;0.04;0.05;-0.01;-22.69;-14.83;-17.33;22104;2020/01/31;17:07:46.00;53.35937;8.07031;1000000.00;0.28;255
15.87;1003.60;65.59;15.96;1002.72;62.92;1.55;0.14;-9.44;0.04;0.06;-0.01;-25.37;-13.58;-15.79;23105;2020/01/31;17:07:47.00;53.35938;8.07031;1000000.00;0.13;255
15.87;1003.60;65.57;15.95;1002.76;63.03;1.54;0.13;-9.44;0.04;0.05;-0.01;-23.04;-13.04;-17.68;24105;2020/01/31;17:07:48.00;53.35938;8.07031;1000000.00;0.20;255
15.88;1003.59;65.55;15.93;1002.73;63.14;1.51;0.15;-9.44;0.04;0.05;-0.01;-25.01;-13.93;-18.19;25105;2020/01/31;17:07:49.00;53.35938;8.07031;1000000.00;0.04;255
15.88;1003.53;65.53;15.93;1002.65;63.20;1.49;0.12;-9.49;0.04;0.05;-0.01;-26.62;-13.04;-18.71;26107;2020/01/31;17:07:50.00;53.35938;8.07031;1000000.00;0.11;255
15.90;1003.52;65.52;15.92;1002.66;63.26;1.51;0.16;-9.54;0.04;0.05;-0.01;-34.66;-15.72;-19.22;27105;2020/01/31;17:07:51.00;53.35939;8.07031;1000000.00;0.19;255
15.92;1003.56;65.51;15.91;1002.69;63.32;1.55;0.13;-9.46;0.04;0.05;-0.01;-35.01;-15.01;-19.91;28107;2020/01/31;17:07:52.00;53.35940;8.07032;1000000.00;0.04;255
15.93;1003.60;65.50;15.91;1002.75;63.35;1.56;0.36;-9.60;0.01;0.06;-0.01;-34.48;-15.54;-18.71;29108;2020/01/31;17:07:53.00;53.35940;8.07032;1000000.00;0.30;255
15.94;1003.61;65.47;15.90;1002.74;63.38;1.27;-0.51;-9.09;0.04;0.06;-0.00;-33.23;-15.72;-19.22;30107;2020/01/31;17:07:54.00;53.35940;8.07032;1000000.00;0.39;255
15.95;1003.62;65.45;15.88;1002.76;63.43;1.53;0.35;-9.46;0.03;0.06;-0.01;-35.19;-15.18;-19.74;31107;2020/01/31;17:07:55.00;53.35940;8.07032;1000000.00;0.89;255
15.96;1003.58;65.40;15.87;1002.70;63.46;1.53;0.11;-9.44;0.04;0.06;-0.01;-33.76;-17.69;-20.08;32105;2020/01/31;17:07:56.00;53.35940;8.07032;1000000.00;0.09;255
15.97;1003.57;65.36;15.86;1002.70;63.52;1.46;0.20;-9.42;0.04;0.05;-0.01;-33.23;-16.43;-18.88;33105;2020/01/31;17:07:57.00;53.35940;8.07032;1000000.00;0.24;255
15.96;1003.57;65.31;15.83;1002.71;63.53;1.52;0.14;-9.49;0.04;0.05;-0.01;-34.48;-16.61;-20.08;34106;2020/01/31;17:07:58.00;53.35940;8.07032;1000000.00;0.09;255
15.95;1003.57;65.29;15.79;1002.69;63.59;1.53;0.15;-9.47;0.04;0.05;-0.01;-32.33;-16.97;-20.42;35107;2020/01/31;17:07:59.00;53.35940;8.07032;1000000.00;0.07;255
15.95;1003.55;65.28;15.76;1002.67;63.65;1.51;0.17;-9.46;0.04;0.05;-0.01;-30.90;-16.26;-19.39;36105;2020/01/31;17:08:00.00;53.35940;8.07032;1000000.00;0.06;255
15.96;1003.63;65.28;15.75;1002.90;63.76;3.60;0.79;-8.32;-0.02;0.13;-0.01;-23.58;-12.50;-17.85;37128;2020/01/31;17:08:01.00;53.35940;8.07032;1000000.00;0.37;255
15.96;1003.62;65.28;15.73;1002.74;63.83;1.58;0.16;-9.47;0.04;0.05;-0.01;-23.94;-11.43;-17.85;38108;2020/01/31;17:08:02.00;53.35940;8.07032;1000000.00;0.07;255
15.98;1003.58;65.28;15.72;1002.72;63.94;1.52;0.14;-9.44;0.04;0.05;-0.01;-23.76;-13.76;-17.33;39108;2020/01/31;17:08:03.00;53.35940;8.07033;1000000.00;0.06;255
16.00;1003.56;65.29;15.71;1002.69;63.93;1.51;0.20;-9.49;0.04;0.05;-0.01;-23.40;-13.40;-17.68;40107;2020/01/31;17:08:04.00;53.35940;8.07033;1000000.00;0.07;255
16.01;1003.58;65.28;15.70;1002.73;63.96;1.54;0.11;-9.47;0.04;0.05;-0.01;-24.29;-14.65;-18.19;41107;2020/01/31;17:08:05.00;53.35940;8.07033;1000000.00;0.43;255
16.02;1003.59;65.27;15.69;1002.72;63.95;1.52;0.17;-9.49;0.04;0.05;-0.01;-23.76;-13.04;-18.53;42104;2020/01/31;17:08:06.00;53.35940;8.07033;1000000.00;0.11;255
16.03;1003.62;65.25;15.67;1002.79;64.03;1.47;0.18;-9.44;0.04;0.05;-0.01;-24.29;-13.58;-16.82;43104;2020/01/31;17:08:07.00;53.35941;8.07034;1000000.00;0.09;255
16.04;1003.63;65.24;15.67;1002.77;64.08;1.51;0.18;-9.50;0.04;0.05;-0.01;-25.19;-13.40;-17.68;44105;2020/01/31;17:08:08.00;53.35941;8.07034;1000000.00;0.22;255
16.05;1003.63;65.21;15.65;1002.77;64.07;1.54;0.15;-9.47;0.04;0.06;-0.01;-23.94;-13.22;-16.47;45106;2020/01/31;17:08:09.00;53.35941;8.07034;1000000.00;0.07;255
16.05;1003.62;65.20;15.63;1002.74;64.18;1.55;0.15;-9.46;0.04;0.05;-0.01;-25.55;-13.04;-18.02;46103;2020/01/31;17:08:10.00;53.35941;8.07034;1000000.00;0.02;255
16.06;1003.60;65.22;15.63;1002.76;64.22;1.53;0.16;-9.49;0.04;0.05;-0.01;-23.22;-11.43;-17.16;47105;2020/01/31;17:08:11.00;53.35941;8.07034;1000000.00;0.09;255
16.06;1003.61;65.21;15.63;1002.77;64.22;1.53;0.15;-9.49;0.04;0.05;-0.01;-23.94;-12.86;-17.85;48099;2020/01/31;17:08:12.00;53.35941;8.07034;1000000.00;0.20;255
16.06;1003.61;65.19;15.63;1002.75;64.28;1.53;0.16;-9.49;0.04;0.05;-0.01;-23.22;-12.86;-17.16;49100;2020/01/31;17:08:13.00;53.35941;8.07034;1000000.00;0.13;255
16.07;1003.63;65.13;15.62;1002.75;64.31;1.53;0.17;-9.45;0.04;0.05;-0.01;-23.94;-12.86;-17.16;50101;2020/01/31;17:08:14.00;53.35941;8.07034;1000000.00;0.26;255
16.08;1003.61;65.07;15.61;1002.76;64.30;1.53;0.17;-9.46;0.04;0.05;-0.01;-24.47;-14.83;-17.33;51102;2020/01/31;17:08:15.00;53.35941;8.07035;1000000.00;0.11;255
16.08;1003.66;65.04;15.60;1002.75;64.36;1.53;0.17;-9.45;0.04;0.06;-0.01;-23.94;-13.22;-16.47;52104;2020/01/31;17:08:16.00;53.35941;8.07035;1000000.00;0.17;255
16.08;1003.64;65.00;15.60;1002.74;64.38;1.53;0.15;-9.47;0.04;0.06;-0.01;-23.76;-13.40;-17.33;53109;2020/01/31;17:08:17.00;53.35941;8.07035;1000000.00;0.04;255
16.08;1003.61;64.96;15.60;1002.73;64.37;1.55;0.19;-9.46;0.04;0.06;-0.01;-24.65;-12.86;-18.19;54103;2020/01/31;17:08:18.00;53.35941;8.07035;1000000.00;0.09;255
16.08;1003.61;64.94;15.58;1002.71;64.42;1.54;0.15;-9.47;0.04;0.05;-0.01;-23.94;-13.58;-17.16;55109;2020/01/31;17:08:19.00;53.35941;8.07035;1000000.00;0.06;255
16.08;1003.60;64.93;15.59;1002.72;64.42;1.51;0.16;-9.47;0.04;0.05;-0.01;-24.83;-13.40;-16.99;56103;2020/01/31;17:08:20.00;53.35941;8.07035;1000000.00;0.00;255
16.08;1003.62;64.93;15.58;1002.73;64.43;1.53;0.17;-9.45;0.04;0.05;-0.01;-24.65;-13.58;-18.88;57104;2020/01/31;17:08:21.00;53.35940;8.07035;1000000.00;0.02;255
16.08;1003.62;64.92;15.57;1002.75;64.46;1.52;0.16;-9.49;0.04;0.05;-0.01;-24.47;-14.11;-19.05;58104;2020/01/31;17:08:22.00;53.35940;8.07035;1000000.00;0.06;255
16.08;1003.65;64.93;15.56;1002.76;64.45;1.51;0.15;-9.46;0.04;0.05;-0.01;-23.58;-12.86;-17.16;59105;2020/01/31;17:08:23.00;53.35940;8.07035;1000000.00;0.13;255
16.08;1003.58;64.93;15.55;1002.73;64.53;1.51;0.17;-9.46;0.04;0.05;-0.01;-24.12;-14.11;-18.71;60104;2020/01/31;17:08:24.00;53.35940;8.07035;1000000.00;0.31;255
16.09;1003.58;64.93;15.54;1002.74;64.58;1.53;0.17;-9.49;0.04;0.06;-0.01;-24.12;-14.11;-16.30;61131;2020/01/31;17:08:25.00;53.35941;8.07036;1000000.00;0.26;255
16.09;1003.61;64.93;15.54;1002.75;64.53;1.53;0.18;-9.47;0.04;0.06;-0.01;-22.87;-13.93;-18.53;62108;2020/01/31;17:08:26.00;53.35941;8.07036;1000000.00;0.02;255
16.10;1003.61;64.93;15.53;1002.74;64.61;1.54;0.16;-9.50;0.04;0.05;-0.01;-23.94;-12.50;-19.22;63105;2020/01/31;17:08:27.00;53.35942;8.07036;1000000.00;0.13;255
16.10;1003.59;64.92;15.54;1002.78;64.63;1.54;0.17;-9.49;0.04;0.05;-0.01;-24.65;-12.15;-18.19;64106;2020/01/31;17:08:28.00;53.35942;8.07036;1000000.00;0.02;255
16.10;1003.62;64.92;15.54;1002.76;64.62;1.52;0.15;-9.48;0.04;0.05;-0.01;-23.76;-13.04;-18.71;65106;2020/01/31;17:08:29.00;53.35942;8.07037;1000000.00;0.00;255
16.12;1003.61;64.91;15.53;1002.78;64.72;1.51;0.13;-9.47;0.04;0.05;-0.01;-24.47;-14.47;-17.68;66109;2020/01/31;17:08:30.00;53.35942;8.07037;1000000.00;0.02;255
16.12;1003.63;64.92;15.53;1002.78;64.75;1.52;0.14;-9.45;0.04;0.05;-0.01;-25.19;-14.47;-16.65;67118;2020/01/31;17:08:31.00;53.35942;8.07037;1000000.00;0.02;255
16.13;1003.63;64.93;15.53;1002.79;64.79;1.53;0.19;-9.48;0.04;0.06;-0.01;-25.90;-13.40;-17.68;68115;2020/01/31;17:08:32.00;53.35942;8.07037;1000000.00;0.04;255
16.13;1003.59;64.93;15.52;1002.77;64.82;1.52;0.18;-9.48;0.04;0.05;-0.01;-24.12;-13.76;-18.02;69121;2020/01/31;17:08:33.00;53.35942;8.07038;1000000.00;0.04;255
16.14;1003.61;64.96;15.52;1002.73;64.86;1.51;0.13;-9.46;0.04;0.05;-0.01;-23.58;-14.29;-17.16;70114;2020/01/31;17:08:34.00;53.35942;8.07038;1000000.00;0.02;255
16.15;1003.58;65.00;15.52;1002.70;64.95;1.54;0.17;-9.50;0.04;0.06;-0.01;-23.76;-14.83;-16.65;71115;2020/01/31;17:08:35.00;53.35941;8.07038;1000000.00;0.04;255
16.15;1003.61;65.05;15.52;1002.74;64.92;1.59;0.10;-9.50;0.04;0.05;-0.01;-23.58;-13.58;-18.19;72115;2020/01/31;17:08:36.00;53.35941;8.07038;1000000.00;0.13;255
16.16;1003.60;65.11;15.52;1002.74;64.94;1.53;0.16;-9.48;0.04;0.05;-0.01;-23.40;-13.04;-17.68;73111;2020/01/31;17:08:37.00;53.35941;8.07038;1000000.00;0.09;255
16.16;1003.63;65.15;15.52;1002.75;64.96;1.53;0.16;-9.48;0.04;0.06;-0.01;-23.04;-12.33;-16.65;74113;2020/01/31;17:08:38.00;53.35941;8.07038;1000000.00;0.02;255
16.17;1003.64;65.22;15.52;1002.78;65.00;1.53;0.16;-9.47;0.04;0.05;-0.01;-23.94;-12.86;-17.50;75109;2020/01/31;17:08:39.00;53.35941;8.07038;1000000.00;0.06;255
16.18;1003.67;65.28;15.52;1002.79;65.01;1.54;0.15;-9.47;0.04;0.05;-0.01;-23.04;-13.76;-17.68;76111;2020/01/31;17:08:40.00;53.35941;8.07038;1000000.00;0.11;255
